Level,Salary
1,42000
2,44500
3,47200
4,50200
5,53500
6,57100
7,61000
8,65200
9,69700
10,74500
11,79600
12,85000
13,90700
14,96700
15,103000
16,109600
17,116500
18,123700
19,131200
20,139000
21,147100
22,155500
23,164200
24,173200
25,182500
26,192100
27,202000
28,212200
29,222700
30,233500
31,244600
32,256000
33,267700
34,279700
35,292000
36,304600
37,317500
38,330700
39,344200
40,358000
41,372100
42,386500
43,401200
44,416200
45,431500
46,447100
47,463000
48,479200
49,495700
50,512500
51,529600
52,547000
53,564700
54,582700
55,601000
56,619600
57,638500
58,657700
59,677200
60,697000
61,717100
62,737500
63,758200
64,779200
65,800500
66,822100
67,844000
68,866200
69,888700
70,911500
71,934600
72,958000
73,981700
74,1005700
75,1030000
76,1054600
77,1079500
78,1104700
79,1130200
80,1156000
81,1182100
82,1208500
83,1235200
84,1262200
85,1289500
86,1317100
87,1345000
88,1373200
89,1401700
90,1430500
91,1459600
92,1489000
93,1518700
94,1548700
95,1579000
96,1609600
97,1640500
98,1671700
99,1703200
100,1735000
101,1767100
102,1799500
103,1832200
104,1865200
105,1898500
106,1932100
107,1966000
108,2000200
109,2034700
110,2069500
111,2104600
112,2140000
113,2175700
114,2211700
115,2248000
116,2284600
117,2321500
118,2358700
119,2396200
120,2434000
121,2472100
122,2510500
123,2549200
124,2588200
125,2627500
126,2667100
127,2707000
128,2747200
129,2787700
130,2828500
131,2869600
132,2911000
133,2952700
134,2994700
135,3037000
136,3079600
137,3122500
138,3165700
139,3209200
140,3253000
141,3297100
142,3341500
143,3386200
144,3431200
145,3476500
146,3522100
147,3568000
148,3614200
149,3660700
150,3707500
151,3754600
152,3802000
153,3849700
154,3897700
155,3946000
156,3994600
157,4043500
158,4092700
159,4142200
160,4192000
161,4242100
162,4292500
163,4343200
164,4394200
165,4445500
166,4497100
167,4549000
168,4601200
169,4653700
170,4706500
171,4759600
172,4813000
173,4866700
174,4920700
175,4975000
176,5029600
177,5084500
178,5139700
179,5195200
180,5251000
181,5307100
182,5363500
183,5420200
184,5477200
185,5534500
186,5592100
187,5650000
188,5708200
189,5766700
190,5825500
191,5884600
192,5944000
193,6003700
194,6063700
195,6124000
196,6184600
197,6245500
198,6306700
199,6368200
200,6430000
