Age,Experience,Salary
22,0,28870
35,7,57854
46,4,50700
42,11,67563
39,7,58363
55,12,79302
53,10,73914
41,14,72605
22,0,33701
59,23,107950
56,3,54602
26,4,44840
27,2,38398
29,1,36257
56,30,120105
36,2,44825
26,4,45726
34,6,49892
47,0,44879
29,3,41697
22,0,33681
55,11,74628
27,5,46818
28,5,45529
26,1,35202
30,2,41556
44,20,90394
32,4,43937
24,2,39869
34,5,48638
46,13,72735
50,27,111149
25,2,37369
46,1,45371
35,13,69118
56,14,85172
24,0,34806
42,9,65450
52,14,79399
22,0,28616
48,25,104253
44,18,86661
40,16,80959
30,0,34885
25,1,34966
57,9,71352
26,4,43138
42,3,51440
57,22,104231
44,6,54619
39,14,75967
36,4,47697
39,12,71438
27,1,36767
58,35,135108
46,10,69260
25,1,34974
32,2,39528
44,10,67712
43,6,54987
60,20,98543
23,0,31265
55,17,88270
34,11,64701
42,3,48864
59,3,56871
46,11,69025
28,1,37128
35,12,65489
28,0,36162
23,1,31724
56,31,123023
46,24,101548
53,15,83601
34,1,38488
33,4,45587
53,28,114846
48,26,111554
57,20,97112
56,17,92624
31,6,49584
52,7,64104
29,5,46863
55,11,74394
34,8,54033
27,0,30682
32,0,34770
38,3,45820
26,3,39760
59,36,138349
60,26,112621
41,2,47454
33,0,37808
29,1,34148
34,6,50636
22,0,33440
40,18,82722
31,9,55184
26,2,35463
29,2,37204
44,16,84023
37,9,58582
36,12,68059
28,2,39651
34,3,45047
26,0,35636
56,27,113586
60,14,83770
39,8,57996
59,35,137616
27,5,47698
49,3,53521
23,1,36066
49,6,61760
38,13,71541
42,1,42173
59,20,98729
47,11,68822
53,22,101154
51,4,57344
60,7,66511
36,0,35375
32,6,52611
44,21,93118
25,0,35492
57,5,62962
48,17,86322
42,18,85066
22,0,33899
41,9,61835
36,1,41662
56,6,64781
55,8,70456
50,27,112470
48,7,62246
29,5,49139
29,2,39878
26,4,41374
54,26,112322
32,8,54708
27,3,43885
39,0,42433
48,15,84203
22,0,31947
46,3,50591
56,21,103279
58,12,79875
27,2,37004
52,12,74718
43,15,77665
52,17,89593
52,15,82654
60,28,117486
38,8,57264
38,12,71067
51,17,90669
48,21,97020
42,3,49857
31,5,47630
37,11,63296
55,3,52381
59,28,116595
60,34,133915
38,7,56490
56,2,55124
58,28,117842
35,6,51586
43,0,40291
60,27,115059
58,22,106281
22,0,29164
46,5,56737
42,9,62996
53,10,72128
32,6,53465
47,22,99216
42,13,73242
35,4,48399
41,4,52853
22,0,33741
23,1,35501
60,15,86140
33,4,44157
60,3,60045
23,0,28621
46,23,99280
43,15,77259
42,15,80175
35,7,54454
55,12,77314
50,23,103310
45,0,44381
52,23,105482
41,8,57918
54,26,111588
35,3,47202
58,4,56802
40,5,53591
30,0,35933
23,1,35834
37,7,54909
49,6,60921
34,5,52385
25,2,40167
26,2,37671
34,5,47553
42,4,49404
57,35,137210
30,5,47142
48,15,78867
37,4,49475
43,20,92778
47,24,106230
55,11,77014
54,15,84079
60,1,55300
51,25,107655
46,21,95051
58,12,77219
28,3,40803
33,8,54460
57,21,100443
45,18,86610
46,4,53556
45,7,62292
54,10,74008
55,6,63129
49,9,65184
53,24,108196
46,17,86456
47,4,53902
28,1,35379
47,8,61554
22,0,29819
40,5,51888
27,2,35569
50,20,96200
45,23,98012
44,16,80195
53,11,75883
43,7,60257
33,9,60858
50,25,106329
47,5,57451
23,1,33096
57,13,79996
50,25,110085
25,3,39309
54,7,67301
57,33,132640
25,0,30042
43,3,46608
51,1,47686
25,3,37165
60,5,65021
54,17,89257
59,0,51566
36,6,55271
36,12,66142
36,8,60492
41,3,45730
49,15,80978
40,0,41090
41,6,56859
28,1,37297
40,15,75420
31,5,48928
60,6,66792
56,17,91034
60,0,50312
38,4,46848
60,23,109389
55,17,88938
43,3,48896
24,1,34095
22,0,28453
45,22,100275
54,23,103877
26,3,38526
23,0,32257
36,2,42792
58,5,60131
23,0,34282
58,14,82324
35,1,38132
40,8,61355
43,12,71257
23,1,32037
32,7,54685
56,0,48082
50,10,69057
35,2,42405
27,4,42878
48,2,47741
57,21,103388
59,17,92762
49,26,109953
55,32,130060
40,6,52816
41,0,38654
60,10,74848
42,2,44269
25,0,29986
33,3,46602
31,7,55677
39,17,82868
33,2,42984
46,6,59350
50,24,104857
27,5,45970
49,5,54929
60,18,92932
54,8,64284
43,13,72372
46,21,95461
32,10,59586
32,4,44233
58,1,53371
45,1,46482
33,4,48663
52,0,47097
56,30,120041
38,13,73725
56,17,91377
23,0,32394
43,10,67342
43,15,77389
32,6,48984
30,4,44759
57,21,100031
43,21,92536
28,6,49085
26,0,35805
53,15,84114
41,5,54376
32,5,48230
55,19,95024
29,0,36860
58,21,101808
26,0,32223
43,10,68114
53,11,74152
45,2,49443
50,5,55664
58,14,81689
41,12,70856
46,17,85505
51,26,107898
45,19,87703
46,19,92873
45,22,98197
47,19,90253
22,0,33426
33,3,46034
22,0,30618
43,15,81795
32,3,43225
35,13,69767
38,8,58500
38,14,72467
53,23,103119
60,27,118763
50,15,84190
38,14,74553
34,12,65292
54,23,102110
36,0,39191
60,5,63450
24,1,33349
22,0,33396
22,0,29928
60,2,57064
47,10,66077
22,0,28757
50,19,94309
30,4,46403
48,26,108837
57,30,125413
44,2,45093
36,3,47272
29,0,31866
38,0,40233
39,0,42206
32,5,47938
47,3,49011
60,9,72492
56,6,62700
43,19,88211
40,18,82040
28,2,40183
41,3,50951
26,0,33328
45,23,101666
55,13,79071
31,4,46038
44,19,92446
22,0,31127
29,4,45051
28,3,41155
53,31,122635
50,25,108243
37,9,59168
39,13,69097
36,6,54461
33,5,46474
40,14,75918
30,6,51605
27,2,36512
27,1,33410
43,16,79003
51,1,49835
46,8,64796
56,12,80356
39,13,72829
32,10,63368
